id,Gender,Customer_Type,Age,Class,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,Leg_room_service,Baggage_handling,Checkin_service,Inflight_service,Cleanliness,satisfaction
123812,Male,disloyal_Customer,25,Business,2,3,2,2,2,5,4,4,2,0
88893,Female,Loyal_Customer,38,Business,3,5,5,4,4,4,3,4,3,1
31244,Female,Loyal_Customer,40,Business,3,1,5,5,5,5,5,5,5,1
97762,Male,Loyal_Customer,19,Eco,1,3,1,1,3,5,4,4,1,0
59851,Female,Loyal_Customer,61,Business,4,5,4,4,4,4,4,4,5,1
25137,Male,Loyal_Customer,44,Eco,5,3,5,5,2,3,4,4,5,0
18412,Female,Loyal_Customer,22,Eco,3,3,3,3,5,5,3,5,3,0
87192,Female,disloyal_Customer,8,Eco,3,2,3,3,5,3,4,3,3,0
127062,Female,Loyal_Customer,45,Business,3,4,4,3,3,3,4,3,3,0
112169,Male,Loyal_Customer,46,Eco,1,4,1,1,1,3,3,5,1,1
127798,Female,Loyal_Customer,54,Business,4,4,4,3,3,3,3,3,1,0
91778,Male,Loyal_Customer,62,Eco,1,1,1,1,4,3,2,3,1,0
42609,Female,Loyal_Customer,25,Business,2,2,2,2,1,2,1,3,2,1
67482,Female,Loyal_Customer,32,Eco,2,3,2,2,5,4,5,4,2,0
91108,Female,Loyal_Customer,65,Eco,4,4,4,1,4,1,4,1,5,0
102318,Male,disloyal_Customer,40,Business,2,2,2,2,4,4,3,5,2,0
51281,Female,Loyal_Customer,30,Eco_Plus,2,0,2,2,1,3,4,5,2,1
6528,Female,Loyal_Customer,67,Eco,1,1,2,3,3,3,2,3,1,0
121232,Male,Loyal_Customer,51,Business,2,5,5,5,5,5,3,5,3,1
72478,Female,Loyal_Customer,47,Business,5,4,5,5,5,5,4,5,3,1
122788,Female,Loyal_Customer,38,Eco,1,1,1,1,3,3,3,3,1,0
5528,Male,Loyal_Customer,54,Business,5,5,4,4,4,4,3,4,4,1
107726,Female,Loyal_Customer,57,Eco,3,2,3,1,0,3,5,1,3,0
72606,Male,Loyal_Customer,13,Eco,2,1,2,2,4,4,5,5,2,0
75522,Female,disloyal_Customer,20,Eco,4,4,4,4,5,4,4,5,4,1
125687,Female,Loyal_Customer,45,Business,2,2,1,2,2,2,3,2,4,0
79908,Female,Loyal_Customer,51,Business,3,4,5,3,3,3,3,3,3,1
117345,Male,disloyal_Customer,25,Business,2,0,2,2,4,4,5,5,2,1
73465,Female,Loyal_Customer,39,Eco,2,1,5,5,4,5,5,4,5,0
95851,Female,Loyal_Customer,46,Business,3,5,4,4,4,4,3,4,5,1
44992,Male,Loyal_Customer,53,Eco,1,1,1,1,2,3,4,4,1,0
70631,Female,Loyal_Customer,61,Eco,5,5,5,4,0,4,4,4,4,1
13761,Female,Loyal_Customer,61,Eco_Plus,3,3,2,4,4,4,3,4,5,1
74968,Male,Loyal_Customer,16,Eco,4,3,4,4,2,4,5,4,4,0
12371,Female,Loyal_Customer,44,Business,2,3,3,2,2,2,3,2,1,0
8378,Female,Loyal_Customer,17,Business,5,5,5,5,3,3,1,5,5,1
82080,Female,Loyal_Customer,50,Eco,4,2,3,2,2,2,1,2,1,0
107972,Female,disloyal_Customer,40,Business,5,4,5,5,3,4,3,5,5,1
101228,Male,Loyal_Customer,47,Business,4,4,4,2,2,2,4,2,3,1
85577,Female,Loyal_Customer,80,Business,2,4,4,4,4,4,5,4,4,1
2717,Female,Loyal_Customer,38,Eco,4,5,4,4,1,3,4,3,4,1
88529,Male,Loyal_Customer,31,Eco,3,5,3,3,2,4,4,4,3,1
91613,Male,Loyal_Customer,59,Business,5,4,4,4,4,4,3,4,1,0
88865,Female,Loyal_Customer,22,Business,4,4,4,4,2,3,4,4,4,0
96960,Female,Loyal_Customer,53,Business,5,4,5,3,3,3,3,3,3,1
51191,Female,Loyal_Customer,56,Eco_Plus,5,3,4,4,4,4,5,4,2,1
9461,Female,Loyal_Customer,48,Eco,2,4,5,3,5,3,5,3,4,0
66384,Male,disloyal_Customer,38,Business,2,3,2,2,2,5,3,4,2,0
41934,Male,Loyal_Customer,64,Eco,1,1,1,1,2,5,4,4,1,0
25381,Male,Loyal_Customer,67,Eco,5,2,3,5,4,4,3,5,5,0
14757,Female,Loyal_Customer,62,Business,3,4,2,4,4,4,1,4,2,1
94013,Male,Loyal_Customer,57,Business,2,5,5,4,4,4,5,4,5,1
80107,Female,disloyal_Customer,27,Eco,1,2,1,1,5,1,1,3,1,0
23590,Female,disloyal_Customer,25,Eco,5,1,5,5,4,4,1,4,5,0
110384,Female,Loyal_Customer,52,Eco,3,2,2,3,3,3,1,3,1,0
15069,Female,Loyal_Customer,45,Eco_Plus,3,1,3,4,4,4,5,4,2,1
17128,Female,disloyal_Customer,23,Eco,1,3,1,1,2,3,3,3,1,0
54060,Male,Loyal_Customer,55,Eco,5,5,5,5,3,5,2,5,5,1
129240,Male,Loyal_Customer,53,Business,5,4,4,3,3,3,3,3,3,0
97165,Female,Loyal_Customer,9,Eco,1,4,1,1,4,4,4,4,1,1
111696,Male,Loyal_Customer,33,Business,4,4,4,4,2,5,3,4,4,1
1887,Male,disloyal_Customer,64,Business,3,3,3,3,4,4,4,4,3,0
89086,Female,disloyal_Customer,8,Eco,4,2,4,4,3,3,3,3,4,0
35485,Male,Loyal_Customer,34,Eco,3,4,3,3,2,5,3,5,3,0
35719,Male,Loyal_Customer,59,Eco,1,3,5,2,3,2,5,2,5,0
85669,Female,Loyal_Customer,13,Business,3,3,3,3,3,4,3,3,3,0
1137,Male,Loyal_Customer,44,Eco,2,4,2,2,5,1,4,5,2,0
8358,Male,Loyal_Customer,54,Business,4,4,5,4,4,4,4,4,3,1
17217,Male,Loyal_Customer,36,Business,3,4,4,5,5,5,5,5,3,1
44847,Female,Loyal_Customer,11,Eco,5,3,5,5,5,5,4,4,5,0
96673,Female,Loyal_Customer,32,Eco,5,1,5,5,5,5,5,4,5,0
80152,Male,Loyal_Customer,42,Eco,1,1,1,3,2,3,1,4,1,0
82277,Female,disloyal_Customer,27,Eco,2,1,2,2,5,3,3,1,2,0
123927,Male,Loyal_Customer,33,Eco,3,2,3,3,1,3,2,5,3,0
115766,Female,Loyal_Customer,28,Business,1,1,1,1,3,3,3,3,1,0
21134,Male,Loyal_Customer,44,Eco,2,0,2,2,4,4,5,5,2,1
112062,Male,disloyal_Customer,49,Eco,4,3,5,4,4,3,4,4,4,0
28643,Male,Loyal_Customer,59,Business,3,5,2,5,5,5,4,5,4,1
108010,Male,disloyal_Customer,20,Business,1,0,1,1,4,4,4,4,1,1
92145,Female,Loyal_Customer,46,Business,3,5,4,4,4,4,3,4,5,1
115846,Male,Loyal_Customer,36,Eco,5,5,5,5,5,3,1,3,5,1
99685,Female,Loyal_Customer,62,Business,5,4,4,4,4,4,4,4,5,1
112072,Male,Loyal_Customer,59,Business,2,4,4,3,2,3,4,3,3,1
119226,Female,Loyal_Customer,29,Eco,3,3,3,3,4,2,2,4,3,0
115925,Female,disloyal_Customer,41,Business,1,2,1,1,4,2,1,1,1,0
106552,Male,Loyal_Customer,7,Eco,4,1,4,4,1,1,5,4,4,0
25126,Female,Loyal_Customer,65,Business,4,4,4,3,3,3,4,3,5,0
33426,Male,Loyal_Customer,50,Business,5,4,4,2,4,2,4,2,4,1
125844,Female,Loyal_Customer,20,Eco,2,2,4,2,5,3,1,4,2,0
70328,Female,Loyal_Customer,58,Business,4,4,4,5,5,5,4,5,3,1
88847,Female,Loyal_Customer,45,Eco_Plus,4,1,1,2,2,4,4,2,3,0
108398,Male,Loyal_Customer,46,Eco_Plus,5,1,5,5,2,5,4,5,5,0
97316,Female,Loyal_Customer,43,Business,4,4,5,5,5,5,4,5,3,1
124811,Male,disloyal_Customer,26,Business,2,2,2,2,3,2,2,3,2,0
23012,Male,Loyal_Customer,41,Eco_Plus,5,5,5,5,4,3,5,5,5,1
18088,Female,Loyal_Customer,50,Eco,3,4,5,5,3,5,5,5,3,0
37982,Male,Loyal_Customer,38,Business,4,3,4,5,3,5,5,5,5,0
31332,Female,disloyal_Customer,38,Eco,3,1,3,3,1,4,5,3,3,0
97455,Female,Loyal_Customer,55,Business,2,5,4,3,3,3,4,3,4,1
28901,Female,Loyal_Customer,49,Business,2,5,4,4,4,4,2,4,1,1
107606,Male,disloyal_Customer,33,Business,4,4,4,4,2,4,5,5,4,0
53258,Female,Loyal_Customer,57,Business,5,5,5,3,4,4,5,4,5,1
14292,Female,Loyal_Customer,35,Business,3,2,3,5,5,5,4,5,4,1
68232,Female,Loyal_Customer,40,Business,3,5,5,4,4,4,3,4,3,1
51224,Female,disloyal_Customer,37,Eco_Plus,3,4,3,3,4,1,1,1,3,0
121386,Female,Loyal_Customer,52,Eco,2,4,2,5,4,5,2,4,2,0
31668,Male,Loyal_Customer,41,Eco,2,2,2,2,5,2,3,3,2,1
24628,Female,Loyal_Customer,14,Eco,3,1,1,4,1,5,1,4,1,0
95876,Female,Loyal_Customer,32,Business,5,4,5,5,5,4,4,4,5,1
62793,Male,Loyal_Customer,11,Eco,2,1,1,3,4,5,1,4,1,0
83516,Male,Loyal_Customer,12,Eco,2,1,2,2,3,2,2,3,2,0
13221,Male,Loyal_Customer,41,Eco,4,4,4,4,1,4,4,3,4,1
100404,Female,disloyal_Customer,45,Business,4,3,4,4,3,4,4,5,4,0
121453,Male,disloyal_Customer,21,Eco,5,2,1,5,5,1,4,5,5,0
21454,Female,Loyal_Customer,31,Eco,2,2,2,2,3,3,1,3,2,0
15937,Male,Loyal_Customer,38,Eco,4,4,4,4,5,4,4,5,4,1
70105,Male,Loyal_Customer,40,Business,3,5,5,5,5,5,4,5,5,1
47540,Male,Loyal_Customer,13,Eco,5,5,5,5,4,4,4,4,5,1
57561,Female,Loyal_Customer,44,Business,3,4,4,2,2,2,5,2,4,1
124103,Female,Loyal_Customer,66,Business,5,4,4,3,3,3,2,3,4,0
125736,Female,Loyal_Customer,30,Eco_Plus,5,5,5,5,2,1,2,3,5,1
93362,Male,Loyal_Customer,44,Eco,4,3,4,4,1,4,3,3,4,0
95429,Female,Loyal_Customer,53,Business,4,5,4,3,3,3,5,3,5,1
106943,Female,Loyal_Customer,37,Business,4,4,4,5,5,5,3,5,5,1
100691,Female,Loyal_Customer,39,Eco,3,2,3,3,3,4,3,4,3,0
119948,Male,disloyal_Customer,29,Business,3,2,3,3,5,4,5,4,3,0
15778,Male,Loyal_Customer,38,Eco,4,4,4,4,4,4,4,3,4,0
68342,Male,Loyal_Customer,59,Business,4,3,4,5,5,5,3,5,5,1
24665,Male,Loyal_Customer,19,Eco,4,1,4,4,4,4,3,5,4,0
81029,Female,Loyal_Customer,39,Business,4,4,5,5,5,5,3,5,5,1
70371,Male,Loyal_Customer,22,Eco,4,3,4,4,2,4,5,5,4,0
1386,Male,Loyal_Customer,50,Eco_Plus,4,0,3,4,4,4,3,4,4,1
35225,Male,Loyal_Customer,22,Eco,5,5,5,5,1,2,2,1,5,1
86204,Male,Loyal_Customer,56,Business,5,5,5,4,4,4,4,4,4,1
126370,Male,Loyal_Customer,39,Eco,4,4,4,4,5,4,3,5,4,0
116184,Male,Loyal_Customer,29,Eco,5,4,5,5,5,4,3,4,5,1
89613,Male,Loyal_Customer,42,Business,3,5,4,5,5,5,3,5,3,1
99020,Male,Loyal_Customer,56,Business,2,5,4,3,4,3,4,3,3,1
18463,Male,Loyal_Customer,27,Business,4,4,3,4,3,2,1,3,4,1
96637,Female,disloyal_Customer,21,Eco,4,2,4,4,4,5,3,5,4,0
114678,Female,Loyal_Customer,42,Business,4,5,4,5,4,5,4,5,5,1
97639,Female,Loyal_Customer,48,Business,5,4,5,4,4,4,4,4,3,1
75061,Male,Loyal_Customer,53,Business,4,3,5,4,4,4,3,4,4,1
51744,Female,Loyal_Customer,64,Eco,2,4,4,2,4,2,3,2,5,0
44413,Female,Loyal_Customer,49,Eco,4,4,4,4,3,4,3,4,5,0
2389,Female,Loyal_Customer,49,Business,4,4,4,5,5,5,4,5,5,1
105062,Male,Loyal_Customer,23,Eco_Plus,3,3,3,3,5,4,4,5,3,0
91464,Male,Loyal_Customer,50,Business,1,1,1,3,3,3,4,3,3,0
55721,Male,Loyal_Customer,51,Eco_Plus,2,1,5,2,5,4,4,4,2,0
65726,Male,Loyal_Customer,34,Business,5,4,5,5,5,5,3,5,3,1
8473,Female,Loyal_Customer,49,Business,3,5,4,3,3,3,4,3,3,1
13488,Female,Loyal_Customer,56,Eco,4,1,2,5,5,5,4,5,3,1
58611,Male,Loyal_Customer,46,Business,3,5,4,4,4,4,3,4,3,1
39607,Male,Loyal_Customer,25,Eco,2,2,2,2,4,4,4,5,2,0
41704,Female,Loyal_Customer,68,Eco_Plus,4,4,5,5,3,5,4,5,4,0
126579,Female,Loyal_Customer,10,Eco,1,2,1,1,2,3,4,4,1,0
44232,Female,Loyal_Customer,44,Eco,2,5,5,3,4,3,4,3,3,1
44021,Male,Loyal_Customer,61,Business,3,4,4,1,4,2,4,1,3,0
67502,Female,Loyal_Customer,18,Eco_Plus,4,3,1,4,1,1,2,4,4,0
19525,Female,Loyal_Customer,58,Business,4,4,4,2,2,2,4,2,3,1
110015,Female,Loyal_Customer,58,Business,2,2,2,2,3,2,2,2,3,0
30960,Male,Loyal_Customer,64,Eco,4,4,4,4,2,5,5,4,4,0
2153,Male,Loyal_Customer,66,Business,5,4,5,3,2,3,5,3,4,0
115097,Female,disloyal_Customer,21,Business,4,4,5,4,3,5,4,4,4,1
63204,Male,Loyal_Customer,39,Business,2,5,4,5,5,5,4,5,4,1
113849,Male,Loyal_Customer,50,Business,2,2,2,3,4,4,2,5,2,1
