Employee_ID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,YearsSinceLastPromotion
27,34,1,Travel_Rarely,699,Research_and_Development,6,1,Medical,2,Male,83,3,1,Research_Scientist,1,Single,2960,17102,2,Y,No,11,1
28,53,0,Travel_Rarely,1282,Research_and_Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,4
29,32,1,Travel_Frequently,1125,Research_and_Development,16,1,Life_Sciences,2,Female,72,1,1,Research_Scientist,1,Single,3919,4681,1,Y,Yes,22,6
30,42,0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales_Executive,2,Married,6825,21173,0,Y,No,11,4
31,44,0,Travel_Rarely,477,Research_and_Development,7,4,Medical,1,Female,42,2,3,Healthcare_Representative,4,Married,10248,2094,3,Y,No,14,5
32,46,0,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,2
33,33,0,Travel_Rarely,924,Research_and_Development,2,3,Medical,3,Male,78,3,1,Laboratory_Technician,4,Single,2496,6670,4,Y,No,11,0
34,44,0,Travel_Rarely,1459,Research_and_Development,10,4,Other,4,Male,41,3,2,Healthcare_Representative,4,Married,6465,19121,2,Y,Yes,13,1
35,30,0,Travel_Rarely,125,Research_and_Development,9,2,Medical,4,Male,83,2,1,Laboratory_Technician,3,Single,2206,16117,1,Y,No,13,1
36,39,1,Travel_Rarely,895,Sales,5,3,Technical_Degree,4,Male,56,3,2,Sales_Representative,4,Married,2086,3335,3,Y,No,14,0
37,24,1,Travel_Rarely,813,Research_and_Development,1,3,Medical,2,Male,61,3,1,Research_Scientist,4,Married,2293,3020,2,Y,Yes,16,2
38,43,0,Travel_Rarely,1273,Research_and_Development,2,2,Medical,4,Female,72,4,1,Research_Scientist,3,Divorced,2645,21923,1,Y,No,12,1
39,50,1,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales_Representative,3,Married,2683,3810,1,Y,Yes,14,0
40,35,0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales_Representative,4,Married,2014,9687,1,Y,No,13,2
41,36,0,Travel_Rarely,852,Research_and_Development,5,4,Life_Sciences,2,Female,82,2,1,Research_Scientist,1,Married,3419,13072,9,Y,Yes,14,0
42,33,0,Travel_Frequently,1141,Sales,1,3,Life_Sciences,3,Female,42,4,2,Sales_Executive,1,Married,5376,3193,2,Y,No,19,1
43,35,0,Travel_Rarely,464,Research_and_Development,4,2,Other,3,Male,75,3,1,Laboratory_Technician,4,Divorced,1951,10910,1,Y,No,12,0
44,27,0,Travel_Rarely,1240,Research_and_Development,2,4,Life_Sciences,4,Female,33,3,1,Laboratory_Technician,1,Divorced,2341,19715,1,Y,No,13,0
45,26,1,Travel_Rarely,1357,Research_and_Development,25,3,Life_Sciences,1,Male,48,1,1,Laboratory_Technician,3,Single,2293,10558,1,Y,No,12,0
46,27,0,Travel_Frequently,994,Sales,8,3,Life_Sciences,4,Male,37,3,3,Sales_Executive,3,Single,8726,2975,1,Y,No,15,1
47,30,0,Travel_Frequently,721,Research_and_Development,1,2,Medical,3,Female,58,3,2,Laboratory_Technician,4,Single,4011,10781,1,Y,No,23,3
48,41,1,Travel_Rarely,1360,Research_and_Development,12,3,Technical_Degree,2,Female,49,3,5,Research_Director,3,Married,19545,16280,1,Y,No,12,15
49,34,0,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales_Executive,3,Single,4568,10034,0,Y,No,20,8
50,37,0,Travel_Rarely,408,Research_and_Development,19,2,Life_Sciences,2,Male,73,3,1,Research_Scientist,2,Married,3022,10227,4,Y,No,21,0
51,46,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales_Executive,4,Single,5772,20445,4,Y,Yes,21,0
52,35,0,Travel_Rarely,1229,Research_and_Development,8,1,Life_Sciences,4,Male,36,4,1,Laboratory_Technician,4,Married,2269,4892,1,Y,No,19,0
53,48,1,Travel_Rarely,626,Research_and_Development,1,2,Life_Sciences,1,Male,98,2,3,Laboratory_Technician,3,Single,5381,19294,9,Y,Yes,13,0
54,28,1,Travel_Rarely,1434,Research_and_Development,5,4,Technical_Degree,3,Male,50,3,1,Laboratory_Technician,3,Single,3441,11179,1,Y,Yes,13,2
55,44,0,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales_Executive,1,Divorced,5454,4009,5,Y,Yes,21,1
56,35,0,Non-Travel,1097,Research_and_Development,11,2,Medical,3,Male,79,2,3,Healthcare_Representative,1,Married,9884,8302,2,Y,Yes,13,2
57,26,0,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales_Executive,4,Married,4157,21436,7,Y,Yes,19,0
58,33,0,Travel_Frequently,515,Research_and_Development,1,2,Life_Sciences,1,Female,98,3,3,Research_Director,4,Single,13458,15146,1,Y,Yes,12,8
59,35,0,Travel_Frequently,853,Sales,18,5,Life_Sciences,2,Male,71,3,3,Sales_Executive,1,Married,9069,11031,1,Y,No,22,1
60,35,0,Travel_Rarely,1142,Research_and_Development,23,4,Medical,3,Female,30,3,1,Laboratory_Technician,1,Married,4014,16002,3,Y,Yes,15,2
61,31,0,Travel_Rarely,655,Research_and_Development,7,4,Life_Sciences,4,Male,48,3,2,Laboratory_Technician,4,Divorced,5915,9528,3,Y,No,22,1
62,37,0,Travel_Rarely,1115,Research_and_Development,1,4,Life_Sciences,1,Male,51,2,2,Manufacturing_Director,3,Divorced,5993,2689,1,Y,No,18,0
63,32,0,Travel_Rarely,427,Research_and_Development,1,3,Medical,1,Male,33,3,2,Manufacturing_Director,4,Married,6162,10877,1,Y,Yes,22,7
64,38,0,Travel_Frequently,653,Research_and_Development,29,5,Life_Sciences,4,Female,50,3,2,Laboratory_Technician,4,Single,2406,5456,1,Y,No,11,9
65,50,0,Travel_Rarely,989,Research_and_Development,7,2,Medical,2,Female,43,2,5,Research_Director,3,Divorced,18740,16701,5,Y,Yes,12,13
66,59,0,Travel_Rarely,1435,Sales,25,3,Life_Sciences,1,Female,99,3,3,Sales_Executive,1,Single,7637,2354,7,Y,No,11,7
67,36,0,Travel_Rarely,1223,Research_and_Development,8,3,Technical_Degree,3,Female,59,3,3,Healthcare_Representative,3,Divorced,10096,8202,1,Y,No,13,12
68,55,0,Travel_Rarely,836,Research_and_Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,0
69,36,0,Travel_Frequently,1195,Research_and_Development,11,3,Life_Sciences,2,Male,95,2,2,Manufacturing_Director,2,Single,6499,22656,1,Y,No,13,0
70,45,0,Travel_Rarely,1339,Research_and_Development,7,3,Life_Sciences,2,Male,59,3,3,Research_Scientist,1,Divorced,9724,18787,2,Y,No,17,0
71,35,0,Travel_Frequently,664,Research_and_Development,1,3,Medical,2,Male,79,3,1,Research_Scientist,1,Married,2194,5868,4,Y,No,13,1
72,36,1,Travel_Rarely,318,Research_and_Development,9,3,Medical,4,Male,79,2,1,Research_Scientist,3,Married,3388,21777,0,Y,Yes,17,0
73,59,0,Travel_Frequently,1225,Sales,1,1,Life_Sciences,1,Female,57,2,2,Sales_Executive,3,Single,5473,24668,7,Y,No,11,1
74,29,0,Travel_Rarely,1328,Research_and_Development,2,3,Life_Sciences,3,Male,76,3,1,Research_Scientist,2,Married,2703,4956,0,Y,No,23,0
75,31,0,Travel_Rarely,1082,Research_and_Development,1,4,Medical,3,Male,87,3,1,Research_Scientist,2,Single,2501,18775,1,Y,No,17,1
76,32,0,Travel_Rarely,548,Research_and_Development,1,3,Life_Sciences,2,Male,66,3,2,Research_Scientist,2,Married,6220,7346,1,Y,No,17,0
77,36,0,Travel_Rarely,132,Research_and_Development,6,3,Life_Sciences,2,Female,55,4,1,Laboratory_Technician,4,Married,3038,22002,3,Y,No,12,0
78,31,0,Travel_Rarely,746,Research_and_Development,8,4,Life_Sciences,3,Female,61,3,2,Manufacturing_Director,4,Single,4424,20682,1,Y,No,23,1
79,35,0,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales_Executive,1,Single,4312,23016,0,Y,No,14,2
80,45,0,Travel_Rarely,193,Research_and_Development,6,4,Other,4,Male,52,3,3,Research_Director,1,Married,13245,15067,4,Y,Yes,14,0
81,37,0,Travel_Rarely,397,Research_and_Development,7,4,Medical,1,Male,30,3,3,Research_Director,3,Single,13664,25258,4,Y,No,13,0
82,46,0,Travel_Rarely,945,Human_Resources,5,2,Medical,2,Male,80,3,2,Human_Resources,2,Divorced,5021,10425,8,Y,Yes,22,0
83,30,0,Travel_Rarely,852,Research_and_Development,1,1,Life_Sciences,4,Male,55,2,2,Laboratory_Technician,4,Married,5126,15998,1,Y,Yes,12,3
84,35,0,Travel_Rarely,1214,Research_and_Development,1,3,Medical,2,Male,30,2,1,Research_Scientist,3,Single,2859,26278,1,Y,No,18,0
85,55,0,Travel_Rarely,111,Sales,1,2,Life_Sciences,1,Male,70,3,3,Sales_Executive,4,Married,10239,18092,3,Y,No,14,1
86,38,0,Non-Travel,573,Research_and_Development,6,3,Medical,2,Female,79,1,2,Research_Scientist,4,Divorced,5329,15717,7,Y,Yes,12,1
87,34,0,Travel_Rarely,1153,Research_and_Development,1,2,Medical,1,Male,94,3,2,Manufacturing_Director,2,Married,4325,17736,1,Y,No,15,1
88,56,0,Travel_Rarely,1400,Research_and_Development,7,3,Life_Sciences,4,Male,49,1,3,Manufacturing_Director,4,Single,7260,21698,4,Y,No,11,0
89,23,0,Travel_Rarely,541,Sales,2,1,Technical_Degree,3,Male,62,3,1,Sales_Representative,1,Divorced,2322,9518,3,Y,No,13,0
90,51,0,Travel_Rarely,432,Research_and_Development,9,4,Life_Sciences,4,Male,96,3,1,Laboratory_Technician,4,Married,2075,18725,3,Y,No,23,0
91,30,0,Travel_Rarely,288,Research_and_Development,2,3,Life_Sciences,3,Male,99,2,2,Healthcare_Representative,4,Married,4152,15830,1,Y,No,19,10
92,46,1,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales_Executive,4,Single,9619,13596,1,Y,No,16,4
93,40,0,Travel_Frequently,530,Research_and_Development,1,4,Life_Sciences,3,Male,78,2,4,Healthcare_Representative,2,Married,13503,14115,1,Y,No,22,11
94,51,0,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales_Executive,4,Single,5441,8423,0,Y,Yes,22,1
95,30,0,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales_Executive,2,Divorced,5209,19760,1,Y,Yes,12,2
96,46,0,Travel_Frequently,638,Research_and_Development,1,3,Medical,3,Male,40,2,3,Healthcare_Representative,1,Married,10673,3142,2,Y,Yes,13,9
97,32,0,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales_Executive,3,Single,5010,24301,1,Y,No,16,5
98,54,0,Travel_Rarely,1217,Research_and_Development,2,4,Technical_Degree,1,Female,60,3,3,Research_Director,3,Married,13549,24001,9,Y,No,12,0
99,24,0,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales_Executive,3,Married,4999,17519,0,Y,No,21,0
100,28,0,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales_Executive,3,Married,4221,8863,1,Y,No,15,0
101,58,0,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales_Executive,3,Single,13872,24409,0,Y,No,13,1
102,44,0,Non-Travel,489,Research_and_Development,23,3,Medical,2,Male,67,3,2,Laboratory_Technician,2,Married,2042,25043,4,Y,No,12,1
103,44,0,Non-Travel,489,Research_and_Development,23,3,Medical,2,Male,67,3,2,Laboratory_Technician,2,Married,2042,25043,4,Y,No,12,1
104,37,1,Travel_Rarely,807,Human_Resources,6,4,Human_Resources,3,Male,63,3,1,Human_Resources,1,Divorced,2073,23648,4,Y,Yes,22,0
105,32,0,Travel_Rarely,827,Research_and_Development,1,1,Life_Sciences,4,Male,71,3,1,Research_Scientist,1,Single,2956,15178,1,Y,No,13,0
106,20,1,Travel_Frequently,871,Research_and_Development,6,3,Life_Sciences,4,Female,66,2,1,Laboratory_Technician,4,Single,2926,19783,1,Y,Yes,18,1
107,34,0,Travel_Rarely,665,Research_and_Development,6,4,Other,1,Female,41,3,2,Research_Scientist,3,Single,4809,12482,1,Y,No,14,2
108,37,0,Non-Travel,1040,Research_and_Development,2,2,Life_Sciences,3,Male,100,2,2,Healthcare_Representative,4,Divorced,5163,15850,5,Y,No,14,0
109,59,0,Non-Travel,1420,Human_Resources,2,4,Human_Resources,3,Female,32,2,5,Manager,4,Married,18844,21922,9,Y,No,21,2
110,50,0,Travel_Frequently,1115,Research_and_Development,1,3,Life_Sciences,1,Female,73,3,5,Research_Director,2,Married,18172,9755,3,Y,Yes,19,0
111,25,1,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,2,2,Sales_Executive,3,Single,5744,26959,1,Y,Yes,11,0
112,25,0,Travel_Rarely,1280,Research_and_Development,7,1,Medical,4,Male,64,2,1,Research_Scientist,4,Married,2889,26897,1,Y,No,11,2
113,22,0,Travel_Rarely,534,Research_and_Development,15,3,Medical,2,Female,59,3,1,Laboratory_Technician,4,Single,2871,23785,1,Y,No,15,0
114,51,0,Travel_Frequently,1456,Research_and_Development,1,4,Medical,1,Female,30,2,3,Healthcare_Representative,1,Single,7484,25796,3,Y,No,20,12
115,34,1,Travel_Frequently,658,Research_and_Development,7,3,Life_Sciences,1,Male,66,1,2,Laboratory_Technician,3,Single,6074,22887,1,Y,Yes,24,0
116,54,0,Non-Travel,142,Human_Resources,26,3,Human_Resources,4,Female,30,4,4,Manager,4,Single,17328,13871,2,Y,Yes,12,4
117,24,0,Travel_Rarely,1127,Research_and_Development,18,1,Life_Sciences,2,Male,52,3,1,Laboratory_Technician,3,Married,2774,13257,0,Y,No,12,1
118,34,0,Travel_Rarely,1031,Research_and_Development,6,4,Life_Sciences,3,Female,45,2,2,Research_Scientist,2,Divorced,4505,15000,6,Y,No,15,0
119,37,0,Travel_Rarely,1189,Sales,3,3,Life_Sciences,3,Male,87,3,3,Sales_Executive,4,Single,7428,14506,2,Y,No,12,1
120,34,0,Travel_Rarely,1354,Research_and_Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,11631,5615,2,Y,No,12,5
121,36,0,Travel_Frequently,1467,Sales,11,2,Technical_Degree,2,Female,92,3,3,Sales_Executive,4,Married,9738,22952,0,Y,No,14,2
122,36,0,Travel_Rarely,922,Research_and_Development,3,2,Life_Sciences,1,Female,39,3,1,Laboratory_Technician,4,Divorced,2835,2561,5,Y,No,22,0
123,43,0,Travel_Frequently,394,Sales,26,2,Life_Sciences,3,Male,92,3,4,Manager,4,Married,16959,19494,1,Y,Yes,12,4
124,30,0,Travel_Frequently,1312,Research_and_Development,23,3,Life_Sciences,1,Male,96,1,1,Research_Scientist,3,Divorced,2613,22310,1,Y,No,25,0
125,33,0,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,3,2,Sales_Executive,2,Married,6146,15480,0,Y,No,13,0
126,56,1,Travel_Rarely,441,Research_and_Development,14,4,Life_Sciences,2,Female,72,3,1,Research_Scientist,2,Married,4963,4510,9,Y,Yes,18,4
127,51,0,Travel_Rarely,684,Research_and_Development,6,3,Life_Sciences,1,Male,51,3,5,Research_Director,3,Single,19537,6462,7,Y,No,13,15
128,31,1,Travel_Rarely,249,Sales,6,4,Life_Sciences,2,Male,76,1,2,Sales_Executive,3,Married,6172,20739,4,Y,Yes,18,7
129,26,0,Travel_Rarely,841,Research_and_Development,6,3,Other,3,Female,46,2,1,Research_Scientist,2,Married,2368,23300,1,Y,No,19,4
130,58,1,Travel_Rarely,147,Research_and_Development,23,4,Medical,4,Female,94,3,3,Healthcare_Representative,4,Married,10312,3465,1,Y,No,12,15
131,19,1,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,50,3,1,Sales_Representative,3,Single,1675,26820,1,Y,Yes,19,0
132,22,0,Travel_Rarely,594,Research_and_Development,2,1,Technical_Degree,3,Male,100,3,1,Laboratory_Technician,4,Married,2523,19299,0,Y,No,14,2
133,49,0,Travel_Rarely,470,Research_and_Development,20,4,Medical,3,Female,96,3,2,Manufacturing_Director,1,Married,6567,5549,1,Y,No,14,5
134,43,0,Travel_Frequently,957,Research_and_Development,28,3,Medical,2,Female,72,4,1,Research_Scientist,3,Single,4739,16090,4,Y,No,12,1
135,50,0,Travel_Frequently,809,Sales,12,3,Marketing,3,Female,77,3,3,Sales_Executive,4,Single,9208,6645,4,Y,No,11,2
136,31,1,Travel_Rarely,542,Sales,20,3,Life_Sciences,2,Female,71,1,2,Sales_Executive,3,Married,4559,24788,3,Y,Yes,11,2
137,41,0,Travel_Rarely,802,Sales,9,1,Life_Sciences,3,Male,96,3,3,Sales_Executive,3,Divorced,8189,21196,3,Y,Yes,13,0
138,26,0,Travel_Rarely,1355,Human_Resources,25,1,Life_Sciences,3,Female,61,3,1,Human_Resources,3,Married,2942,8916,1,Y,No,23,5
139,36,0,Travel_Rarely,216,Research_and_Development,6,2,Medical,2,Male,84,3,2,Manufacturing_Director,2,Divorced,4941,2819,6,Y,No,20,0
140,51,1,Travel_Frequently,1150,Research_and_Development,8,4,Life_Sciences,1,Male,53,1,3,Manufacturing_Director,4,Single,10650,25150,2,Y,No,15,0
141,39,0,Travel_Rarely,1329,Sales,4,4,Life_Sciences,4,Female,47,2,2,Sales_Executive,3,Married,5902,14590,4,Y,No,14,5
142,25,0,Travel_Rarely,959,Sales,28,3,Life_Sciences,1,Male,41,2,2,Sales_Executive,3,Married,8639,24835,2,Y,No,18,2
143,30,0,Travel_Rarely,1240,Human_Resources,9,3,Human_Resources,3,Male,48,3,2,Human_Resources,4,Married,6347,13982,0,Y,Yes,19,4
144,32,1,Travel_Rarely,1033,Research_and_Development,9,3,Medical,1,Female,41,3,1,Laboratory_Technician,1,Single,4200,10224,7,Y,No,22,0
145,45,0,Travel_Rarely,1316,Research_and_Development,29,3,Medical,3,Male,83,3,1,Research_Scientist,4,Single,3452,9752,5,Y,No,13,0
146,38,0,Travel_Rarely,364,Research_and_Development,3,5,Technical_Degree,4,Female,32,3,2,Research_Scientist,3,Single,4317,2302,3,Y,Yes,20,2
147,30,0,Travel_Rarely,438,Research_and_Development,18,3,Life_Sciences,1,Female,75,3,1,Research_Scientist,3,Single,2632,23910,1,Y,No,14,0
148,32,0,Travel_Frequently,689,Sales,9,2,Medical,4,Male,35,1,2,Sales_Executive,4,Divorced,4668,22812,0,Y,No,17,0
149,30,0,Travel_Rarely,201,Research_and_Development,5,3,Technical_Degree,4,Female,84,3,1,Research_Scientist,1,Divorced,3204,10415,5,Y,No,14,2
150,30,0,Travel_Rarely,1427,Research_and_Development,2,1,Medical,2,Male,35,2,1,Laboratory_Technician,4,Single,2720,11162,0,Y,No,13,1
151,41,0,Travel_Frequently,857,Research_and_Development,10,3,Life_Sciences,4,Male,91,2,4,Manager,1,Divorced,17181,12888,4,Y,No,13,7
152,41,0,Travel_Rarely,933,Research_and_Development,9,4,Life_Sciences,3,Male,94,3,1,Laboratory_Technician,1,Married,2238,6961,2,Y,No,21,1
153,19,0,Travel_Rarely,1181,Research_and_Development,3,1,Medical,2,Female,79,3,1,Laboratory_Technician,2,Single,1483,16102,1,Y,No,14,0
154,40,0,Travel_Frequently,1395,Research_and_Development,26,3,Medical,2,Female,54,3,2,Research_Scientist,2,Divorced,5605,8504,1,Y,No,11,2
155,35,0,Travel_Rarely,662,Sales,1,5,Marketing,3,Male,94,3,3,Sales_Executive,2,Married,7295,11439,1,Y,No,13,0
156,53,0,Travel_Rarely,1436,Sales,6,2,Marketing,2,Male,34,3,2,Sales_Representative,3,Married,2306,16047,2,Y,Yes,20,4
157,45,0,Travel_Rarely,194,Research_and_Development,9,3,Life_Sciences,2,Male,60,3,2,Laboratory_Technician,2,Divorced,2348,10901,8,Y,No,18,0
158,32,0,Travel_Frequently,967,Sales,8,3,Marketing,2,Female,43,3,3,Sales_Executive,4,Single,8998,15589,1,Y,No,14,3
159,29,0,Non-Travel,1496,Research_and_Development,1,1,Technical_Degree,4,Male,41,3,2,Manufacturing_Director,3,Married,4319,26283,1,Y,No,13,0
160,51,0,Travel_Rarely,1169,Research_and_Development,7,4,Medical,2,Male,34,2,2,Manufacturing_Director,3,Married,6132,13983,2,Y,No,17,0
161,58,0,Travel_Rarely,1145,Research_and_Development,9,3,Medical,2,Female,75,2,1,Research_Scientist,2,Married,3346,11873,4,Y,Yes,20,0
162,40,0,Travel_Rarely,630,Sales,4,4,Marketing,3,Male,67,2,3,Sales_Executive,4,Married,10855,8552,7,Y,No,11,2
163,34,0,Travel_Frequently,303,Sales,2,4,Marketing,3,Female,75,3,1,Sales_Representative,3,Married,2231,11314,6,Y,No,18,1
164,22,0,Travel_Rarely,1256,Research_and_Development,19,1,Medical,3,Male,80,3,1,Research_Scientist,4,Married,2323,11992,1,Y,No,24,2
165,27,0,Non-Travel,691,Research_and_Development,9,3,Medical,4,Male,57,3,1,Research_Scientist,2,Divorced,2024,5970,6,Y,No,18,2
166,28,0,Travel_Rarely,440,Research_and_Development,21,3,Medical,3,Male,42,3,1,Research_Scientist,4,Married,2713,6672,1,Y,No,11,0
167,57,0,Travel_Rarely,334,Research_and_Development,24,2,Life_Sciences,3,Male,83,4,3,Healthcare_Representative,4,Divorced,9439,23402,3,Y,Yes,16,1
168,27,0,Non-Travel,1450,Research_and_Development,3,3,Medical,3,Male,79,2,1,Research_Scientist,3,Divorced,2566,25326,1,Y,Yes,15,0
169,50,0,Travel_Rarely,1452,Research_and_Development,11,3,Life_Sciences,3,Female,53,3,5,Manager,2,Single,19926,17053,3,Y,No,15,4
170,41,0,Travel_Rarely,465,Research_and_Development,14,3,Life_Sciences,1,Male,56,3,1,Research_Scientist,3,Divorced,2451,4609,4,Y,No,12,1
171,30,0,Travel_Rarely,1339,Sales,5,3,Life_Sciences,2,Female,41,3,3,Sales_Executive,4,Married,9419,8053,2,Y,No,12,7
172,38,0,Travel_Rarely,702,Sales,1,4,Life_Sciences,1,Female,59,2,2,Sales_Executive,4,Single,8686,12930,4,Y,No,22,0
173,32,0,Travel_Rarely,120,Research_and_Development,6,5,Life_Sciences,3,Male,43,3,1,Research_Scientist,3,Single,3038,12430,3,Y,No,20,1
174,27,0,Travel_Rarely,1157,Research_and_Development,17,3,Technical_Degree,3,Male,51,3,1,Research_Scientist,2,Married,3058,13364,0,Y,Yes,16,1
175,19,1,Travel_Frequently,602,Sales,1,1,Technical_Degree,3,Female,100,1,1,Sales_Representative,1,Single,2325,20989,0,Y,No,21,0
176,36,0,Travel_Frequently,1480,Research_and_Development,3,2,Medical,4,Male,30,3,1,Laboratory_Technician,2,Single,2088,15062,4,Y,No,12,7
177,30,0,Non-Travel,111,Research_and_Development,9,3,Medical,3,Male,66,3,2,Laboratory_Technician,1,Divorced,3072,11012,1,Y,No,11,6
178,45,0,Travel_Rarely,1268,Sales,4,2,Life_Sciences,3,Female,30,3,2,Sales_Executive,1,Divorced,5006,6319,4,Y,Yes,11,0
