Transaction_ID,Configuration,Screen_Size,Battery_Life,RAM,Processor_Speeds,Integrated_Wireless,HD_Size,Bundled_Applications,Retail_Price
127989,408,15,6,4,2,Yes,300,No,715
5459,173,15,5,1,2,No,120,Yes,455
160206,204,15,5,2,1.5,No,80,No,231
198719,612,17,5,1,2.4,Yes,80,No,510
103647,849,17,6,4,2.4,Yes,40,Yes,770
77046,495,17,4,2,1.5,No,300,Yes,610
174917,274,15,5,4,2.4,Yes,40,No,540
158714,737,17,6,1,2,Yes,40,Yes,406
168738,364,15,6,2,2,No,80,No,435
67728,268,15,5,4,2,No,80,No,535
231752,326,15,6,1,2.4,Yes,120,No,505
52627,89,15,4,2,2.4,No,40,Yes,450
120205,620,17,5,1,2.4,No,80,No,500
109086,612,17,5,1,2.4,Yes,80,No,520
25953,353,15,6,2,2,Yes,40,Yes,515
42028,425,15,6,4,2.4,No,40,Yes,650
210134,484,17,4,2,1.5,Yes,80,No,470
188349,30,15,4,1,2,No,120,No,340
213415,834,17,6,4,2,Yes,40,No,695
27083,6,15,4,1,1.5,Yes,120,No,365
11428,58,15,4,2,1.5,No,40,No,340
112099,257,15,5,4,2,Yes,40,Yes,565
175580,623,17,5,1,2.4,No,300,Yes,625
244843,31,15,4,1,2,No,300,Yes,445
257643,568,17,4,4,2.4,Yes,300,No,740
90523,227,15,5,2,2.4,Yes,80,Yes,520
249436,732,17,6,1,1.5,No,80,No,510
275099,724,17,6,1,1.5,Yes,80,No,530
45850,105,15,4,4,1.5,No,40,Yes,350
51196,19,15,4,1,2,Yes,80,Yes,410
184481,430,15,6,4,2.4,No,120,No,660
218719,171,15,5,1,2,No,80,Yes,385
211198,745,17,6,1,2,No,40,Yes,555
189913,236,15,5,2,2.4,No,80,No,420
146984,500,17,4,2,2,Yes,80,No,505
4386,291,15,6,1,1.5,Yes,80,Yes,510
67538,479,17,4,1,2.4,No,300,Yes,620
199343,456,17,4,1,2,Yes,300,No,545
71490,27,15,4,1,2,No,80,Yes,390
157807,90,15,4,2,2.4,No,40,No,259
107258,67,15,4,2,2,Yes,80,Yes,415
270829,50,15,4,2,1.5,Yes,40,No,260
242195,613,17,5,1,2.4,Yes,120,Yes,575
24959,173,15,5,1,2,No,120,Yes,440
216703,160,15,5,1,1.5,No,300,No,395
90325,571,17,4,4,2.4,No,80,Yes,690
197401,485,17,4,2,1.5,Yes,120,Yes,540
42708,292,15,6,1,1.5,Yes,80,No,435
223673,170,15,5,1,2,No,40,No,295
71977,278,15,5,4,2.4,Yes,120,No,600
92471,668,17,5,2,2.4,No,80,No,550
113753,442,17,4,1,1.5,No,40,No,390
223461,679,17,5,4,1.5,Yes,300,Yes,760
141317,360,15,6,2,2,Yes,300,No,545
293423,856,17,6,4,2.4,Yes,300,No,840
117211,321,15,6,1,2.4,Yes,40,Yes,510
168112,646,17,5,2,2,Yes,120,No,545
222351,63,15,4,2,1.5,No,300,Yes,420
223503,332,15,6,1,2.4,No,80,No,465
90786,623,17,5,1,2.4,No,300,Yes,635
3975,343,15,6,2,1.5,Yes,300,Yes,640
270328,600,17,5,1,2,Yes,300,No,
35155,163,15,5,1,2,Yes,80,Yes,435
35529,215,15,5,2,2,Yes,300,Yes,545
197297,852,17,6,4,2.4,Yes,80,No,760
152941,791,17,6,2,2,Yes,300,Yes,735
277502,331,15,6,1,2.4,No,80,Yes,357
225958,573,17,4,4,2.4,No,120,Yes,710
21381,63,15,4,2,1.5,No,300,Yes,500
25152,355,15,6,2,2,Yes,80,Yes,555
169910,124,15,4,4,2,No,80,No,
62410,104,15,4,4,1.5,Yes,300,No,413
16374,319,15,6,1,2,No,300,Yes,585
113002,737,17,6,1,2,Yes,40,Yes,585
263990,428,15,6,4,2.4,No,80,No,640
96858,510,17,4,2,2,No,120,No,525
30231,294,15,6,1,1.5,Yes,120,No,465
128331,362,15,6,2,2,No,40,No,405
37979,3,15,4,1,1.5,Yes,80,Yes,390
15009,364,15,6,2,2,No,80,No,505
80611,96,15,4,2,2.4,No,300,No,510
276606,705,17,5,4,2.4,Yes,40,Yes,690
289189,270,15,5,4,2,No,120,No,555
274481,183,15,5,1,2.4,Yes,300,Yes,530
237597,740,17,6,1,2,Yes,80,No,560
67990,385,15,6,4,1.5,Yes,40,Yes,434
291293,771,17,6,2,1.5,Yes,80,Yes,600
212401,498,17,4,2,2,Yes,40,No,455
2660,69,15,4,2,2,Yes,120,Yes,505
5118,343,15,6,2,1.5,Yes,300,Yes,640
274952,320,15,6,1,2,No,300,No,490
171243,13,15,4,1,1.5,No,120,Yes,259
131843,309,15,6,1,2,Yes,120,Yes,520
280227,389,15,6,4,1.5,Yes,120,Yes,476
98157,23,15,4,1,2,Yes,300,Yes,485
213959,627,17,5,2,1.5,Yes,80,Yes,540
48718,167,15,5,1,2,Yes,300,Yes,510
97539,328,15,6,1,2.4,Yes,300,No,585
107085,443,17,4,1,1.5,No,80,Yes,480
47317,682,17,5,4,1.5,No,40,No,570
291964,160,15,5,1,1.5,No,300,No,385
86891,823,17,6,4,1.5,Yes,300,Yes,840
190049,633,17,5,2,1.5,No,40,Yes,480
256327,376,15,6,2,2.4,Yes,300,No,406
142073,569,17,4,4,2.4,No,40,Yes,650
140050,39,15,4,1,2.4,Yes,300,Yes,530
88240,379,15,6,2,2.4,No,80,Yes,580
93035,141,15,4,4,2.4,No,120,Yes,610
66973,133,15,4,4,2.4,Yes,120,Yes,441
210391,205,15,5,2,1.5,No,120,Yes,390
8869,149,15,5,1,1.5,Yes,120,Yes,445
259024,479,17,4,1,2.4,No,300,Yes,590
270235,301,15,6,1,1.5,No,120,Yes,
159269,790,17,6,2,2,Yes,120,No,625
167242,279,15,5,4,2.4,Yes,300,Yes,710
94553,379,15,6,2,2.4,No,80,Yes,580
40016,798,17,6,2,2,No,120,No,
11658,292,15,6,1,1.5,Yes,80,No,455
108148,552,17,4,4,2,Yes,300,No,715
207903,51,15,4,2,1.5,Yes,80,Yes,370
296841,161,15,5,1,2,Yes,40,Yes,360
265610,45,15,4,1,2.4,No,120,Yes,301
141928,31,15,4,1,2,No,300,Yes,460
217462,521,17,4,2,2.4,No,40,Yes,500
168947,277,15,5,4,2.4,Yes,120,Yes,455
100066,125,15,4,4,2,No,120,Yes,585
22911,341,15,6,2,1.5,Yes,120,Yes,560
286890,328,15,6,1,2.4,Yes,300,No,392
112927,440,17,4,1,1.5,Yes,300,No,530
84188,86,15,4,2,2.4,Yes,120,No,470
78608,55,15,4,2,1.5,Yes,300,Yes,480
251655,665,17,5,2,2.4,No,40,Yes,357
66668,79,15,4,2,2,No,300,Yes,495
27528,308,15,6,1,2,Yes,80,No,470
150245,198,15,5,2,1.5,Yes,120,No,259
111728,182,15,5,1,2.4,Yes,120,No,440
193154,301,15,6,1,1.5,No,120,Yes,465
102120,85,15,4,2,2.4,Yes,120,Yes,520
105874,337,15,6,2,1.5,Yes,40,Yes,450
92931,730,17,6,1,1.5,No,40,No,495
195767,541,17,4,4,1.5,No,120,Yes,660
180931,392,15,6,4,1.5,Yes,300,No,690
194654,545,17,4,4,2,Yes,40,Yes,645
26619,291,15,6,1,1.5,Yes,80,Yes,495
55405,243,15,5,4,1.5,Yes,80,Yes,580
83418,589,17,5,1,1.5,No,120,Yes,525
235096,656,17,5,2,2,No,300,No,565
175328,505,17,4,2,2,No,40,Yes,495
166866,24,15,4,1,2,Yes,300,No,425
582,346,15,6,2,1.5,No,40,No,450
244943,830,17,6,4,1.5,No,120,No,710
241845,582,17,5,1,1.5,Yes,120,No,475
290605,224,15,5,2,2,No,300,No,405
176508,470,17,4,1,2.4,Yes,120,No,515
263895,53,15,4,2,1.5,Yes,120,Yes,259
101231,193,15,5,2,1.5,Yes,40,Yes,380
199148,275,15,5,4,2.4,Yes,80,Yes,630
129251,279,15,5,4,2.4,Yes,300,Yes,710
282400,75,15,4,2,2,No,80,Yes,355
249498,309,15,6,1,2,Yes,120,Yes,505
270283,56,15,4,2,1.5,Yes,300,No,380
218060,355,15,6,2,2,Yes,80,Yes,485
72998,37,15,4,1,2.4,Yes,120,Yes,475
231636,435,17,4,1,1.5,Yes,80,Yes,485
201776,417,15,6,4,2.4,Yes,40,Yes,670
230776,629,17,5,2,1.5,Yes,120,Yes,550
186737,251,15,5,4,1.5,No,80,Yes,560
251441,483,17,4,2,1.5,Yes,80,Yes,350
143373,231,15,5,2,2.4,Yes,300,Yes,580
31353,210,15,5,2,2,Yes,40,No,375
65197,596,17,5,1,2,Yes,80,No,505
68411,149,15,5,1,1.5,Yes,120,Yes,
54542,183,15,5,1,2.4,Yes,300,Yes,560
130731,47,15,4,1,2.4,No,300,Yes,510
100248,831,17,6,4,1.5,No,300,Yes,820
134586,228,15,5,2,2.4,Yes,80,No,460
141499,739,17,6,1,2,Yes,80,Yes,620
162312,813,17,6,2,2.4,No,120,Yes,680
204641,78,15,4,2,2,No,120,No,345
35862,337,15,6,2,1.5,Yes,40,Yes,480
79764,106,15,4,4,1.5,No,40,No,450
34809,318,15,6,1,2,No,120,No,465
289622,110,15,4,4,1.5,No,120,No,510
80045,459,17,4,1,2,No,80,Yes,510
101636,593,17,5,1,2,Yes,40,Yes,510
190816,637,17,5,2,1.5,No,120,Yes,540
257326,652,17,5,2,2,No,80,No,475
182204,35,15,4,1,2.4,Yes,80,Yes,440
297021,85,15,4,2,2.4,Yes,120,Yes,470
75250,202,15,5,2,1.5,No,40,No,310
147435,830,17,6,4,1.5,No,120,No,710
30359,221,15,5,2,2,No,120,Yes,475
21548,173,15,5,1,2,No,120,Yes,
74013,273,15,5,4,2.4,Yes,40,Yes,590
81091,521,17,4,2,2.4,No,40,Yes,540
102701,491,17,4,2,1.5,No,80,Yes,530
233358,151,15,5,1,1.5,Yes,300,Yes,460
236516,197,15,5,2,1.5,Yes,120,Yes,400
134265,31,15,4,1,2,No,300,Yes,460
60295,116,15,4,4,2,Yes,80,No,535
221278,361,15,6,2,2,No,40,Yes,425
59034,513,17,4,2,2.4,Yes,40,Yes,399
252858,407,15,6,4,2,Yes,300,Yes,
46285,271,15,5,4,2,No,300,Yes,665
11393,168,15,5,1,2,Yes,300,No,480
181744,198,15,5,2,1.5,Yes,120,No,370
253110,433,17,4,1,1.5,Yes,40,Yes,440
341,14,15,4,1,1.5,No,120,No,360
69591,265,15,5,4,2,No,40,Yes,
243680,617,17,5,1,2.4,No,40,Yes,495
215213,251,15,5,4,1.5,No,80,Yes,560
167614,319,15,6,1,2,No,300,Yes,
251870,316,15,6,1,2,No,80,No,287
156106,73,15,4,2,2,No,40,Yes,345
140678,176,15,5,1,2,No,300,No,430
163058,349,15,6,2,1.5,No,120,Yes,336
24384,208,15,5,2,1.5,No,300,No,460
293241,165,15,5,1,2,Yes,120,Yes,294
115104,484,17,4,2,1.5,Yes,80,No,490
57198,353,15,6,2,2,Yes,40,Yes,495
60789,203,15,5,2,1.5,No,80,Yes,287
131808,854,17,6,4,2.4,Yes,120,No,780
114538,499,17,4,2,2,Yes,80,Yes,565
135499,786,17,6,2,2,Yes,40,No,575
91898,662,17,5,2,2.4,Yes,120,No,590
149839,330,15,6,1,2.4,No,40,No,435
84560,139,15,4,4,2.4,No,80,Yes,590
272165,616,17,5,1,2.4,Yes,300,No,580
149965,544,17,4,4,1.5,No,300,No,670
238917,474,17,4,1,2.4,No,40,No,425
61225,97,15,4,4,1.5,Yes,40,Yes,520
46851,431,15,6,4,2.4,No,300,Yes,770
152886,316,15,6,1,2,No,80,No,425
192929,726,17,6,1,1.5,Yes,120,No,560
140154,454,17,4,1,2,Yes,120,No,495
101325,623,17,5,1,2.4,No,300,Yes,635
264799,69,15,4,2,2,Yes,120,Yes,395
137994,214,15,5,2,2,Yes,120,No,405
291366,416,15,6,4,2,No,300,No,695
124724,669,17,5,2,2.4,No,120,Yes,610
19369,303,15,6,1,1.5,No,300,Yes,392
272421,48,15,4,1,2.4,No,300,No,308
108459,732,17,6,1,1.5,No,80,No,530
107407,489,17,4,2,1.5,No,40,Yes,480
199384,758,17,6,1,2.4,Yes,120,No,610
284476,437,17,4,1,1.5,Yes,120,Yes,350
3661,198,15,5,2,1.5,Yes,120,No,450
71975,315,15,6,1,2,No,80,Yes,485
232328,253,15,5,4,1.5,No,120,Yes,580
161684,534,17,4,4,1.5,Yes,120,No,630
21989,352,15,6,2,1.5,No,300,No,550
36882,360,15,6,2,2,Yes,300,No,575
120926,827,17,6,4,1.5,No,80,Yes,740
268584,71,15,4,2,2,Yes,300,Yes,455
18954,150,15,5,1,1.5,Yes,120,No,273
283222,171,15,5,1,2,No,80,Yes,266
25367,338,15,6,2,1.5,Yes,40,No,440
189234,150,15,5,1,1.5,Yes,120,No,355
208347,280,15,5,4,2.4,Yes,300,No,660
48371,275,15,5,4,2.4,Yes,80,Yes,441
286083,180,15,5,1,2.4,Yes,80,No,400
273795,666,17,5,2,2.4,No,40,No,322
13794,311,15,6,1,2,Yes,300,Yes,610
78966,856,17,6,4,2.4,Yes,300,No,840
233843,476,17,4,1,2.4,No,80,No,465
139571,176,15,5,1,2,No,300,No,430
16878,61,15,4,2,1.5,No,120,Yes,440
47736,213,15,5,2,2,Yes,120,Yes,475
243440,551,17,4,4,2,Yes,300,Yes,765
119811,840,17,6,4,2,Yes,300,No,815
168031,497,17,4,2,2,Yes,40,Yes,515
267284,581,17,5,1,1.5,Yes,120,Yes,364
237288,510,17,4,2,2,No,120,No,485
221847,97,15,4,4,1.5,Yes,40,Yes,520
217244,108,15,4,4,1.5,No,80,No,490
133287,564,17,4,4,2.4,Yes,80,No,660
264337,314,15,6,1,2,No,40,No,370
77199,455,17,4,1,2,Yes,300,Yes,610
132487,769,17,6,2,1.5,Yes,40,Yes,600
246632,500,17,4,2,2,Yes,80,No,485
167392,64,15,4,2,1.5,No,300,No,390
294907,362,15,6,2,2,No,40,No,365
179696,446,17,4,1,1.5,No,120,No,445
209357,464,17,4,1,2,No,300,No,525
217338,134,15,4,4,2.4,Yes,120,No,580
110987,152,15,5,1,1.5,Yes,300,No,425
70678,325,15,6,1,2.4,Yes,120,Yes,580
231294,53,15,4,2,1.5,Yes,120,Yes,380
85193,861,17,6,4,2.4,No,120,Yes,810
223681,248,15,5,4,1.5,Yes,300,No,610
279096,577,17,5,1,1.5,Yes,40,Yes,460
287940,15,15,4,1,1.5,No,300,Yes,415
3834,161,15,5,1,2,Yes,40,Yes,415
215252,604,17,5,1,2,No,80,No,465
198316,214,15,5,2,2,Yes,120,No,385
18813,80,15,4,2,2,No,300,No,
137862,529,17,4,4,1.5,Yes,40,Yes,620
10715,16,15,4,1,1.5,No,300,No,415
294582,137,15,4,4,2.4,No,40,Yes,385
70953,139,15,4,4,2.4,No,80,Yes,590
198920,463,17,4,1,2,No,300,Yes,575
278714,739,17,6,1,2,Yes,80,Yes,605
222521,463,17,4,1,2,No,300,Yes,570
173356,604,17,5,1,2,No,80,No,470
51980,89,15,4,2,2.4,No,40,Yes,315
48692,82,15,4,2,2.4,Yes,40,No,294
266939,682,17,5,4,1.5,No,40,No,570
110293,614,17,5,1,2.4,Yes,120,No,540
127850,631,17,5,2,1.5,Yes,300,Yes,640
183246,839,17,6,4,2,Yes,300,Yes,865
104873,653,17,5,2,2,No,120,Yes,585
6716,320,15,6,1,2,No,300,No,545
251062,54,15,4,2,1.5,Yes,120,No,320
266972,568,17,4,4,2.4,Yes,300,No,740
38933,356,15,6,2,2,Yes,80,No,495
80407,642,17,5,2,2,Yes,40,No,505
165216,370,15,6,2,2.4,Yes,40,No,490
112750,240,15,5,2,2.4,No,300,No,520
135821,484,17,4,2,1.5,Yes,80,No,490
275611,534,17,4,4,1.5,Yes,120,No,441
81376,77,15,4,2,2,No,120,Yes,425
197427,157,15,5,1,1.5,No,120,Yes,385
66493,435,17,4,1,1.5,Yes,80,Yes,510
214624,71,15,4,2,2,Yes,300,Yes,475
238548,597,17,5,1,2,Yes,120,Yes,550
108853,164,15,5,1,2,Yes,80,No,370
268012,7,15,4,1,1.5,Yes,300,Yes,435
73911,520,17,4,2,2.4,Yes,300,No,630
186221,859,17,6,4,2.4,No,80,Yes,790
198621,149,15,5,1,1.5,Yes,120,Yes,405
279992,306,15,6,1,2,Yes,40,No,390
285181,173,15,5,1,2,No,120,Yes,280
105899,772,17,6,2,1.5,Yes,80,No,590
191033,656,17,5,2,2,No,300,No,575
181308,463,17,4,1,2,No,300,Yes,580
264304,394,15,6,4,1.5,No,40,No,550
136208,274,15,5,4,2.4,Yes,40,No,540
122927,403,15,6,4,2,Yes,80,Yes,685
177856,304,15,6,1,1.5,No,300,No,336
63881,338,15,6,2,1.5,Yes,40,No,420
286979,442,17,4,1,1.5,No,40,No,370
39970,337,15,6,2,1.5,Yes,40,Yes,470
270766,597,17,5,1,2,Yes,120,Yes,545
201465,147,15,5,1,1.5,Yes,80,Yes,385
272079,666,17,5,2,2.4,No,40,No,460
98931,728,17,6,1,1.5,Yes,300,No,635
219370,236,15,5,2,2.4,No,80,No,410
61049,304,15,6,1,1.5,No,300,No,495
118024,662,17,5,2,2.4,Yes,120,No,580
207351,460,17,4,1,2,No,80,No,445
270728,448,17,4,1,1.5,No,300,No,343
166000,461,17,4,1,2,No,120,Yes,520
46397,560,17,4,4,2,No,300,No,
71543,77,15,4,2,2,No,120,Yes,435
152411,509,17,4,2,2,No,120,Yes,555
5809,152,15,5,1,1.5,Yes,300,No,460
255128,758,17,6,1,2.4,Yes,120,No,600
241572,488,17,4,2,1.5,Yes,300,No,540
172808,790,17,6,2,2,Yes,120,No,625
80789,514,17,4,2,2.4,Yes,40,No,510
558,61,15,4,2,1.5,No,120,Yes,460
78560,90,15,4,2,2.4,No,40,No,390
137702,349,15,6,2,1.5,No,120,Yes,490
137594,758,17,6,1,2.4,Yes,120,No,620
175594,260,15,5,4,2,Yes,80,No,555
101758,343,15,6,2,1.5,Yes,300,Yes,580
185740,377,15,6,2,2.4,No,40,Yes,510
204479,309,15,6,1,2,Yes,120,Yes,510
45148,236,15,5,2,2.4,No,80,No,322
166423,140,15,4,4,2.4,No,80,No,540
11878,168,15,5,1,2,Yes,300,No,480
70487,187,15,5,1,2.4,No,80,Yes,460
63952,437,17,4,1,1.5,Yes,120,Yes,530
57125,843,17,6,4,2,No,80,Yes,
273295,51,15,4,2,1.5,Yes,80,Yes,350
29585,219,15,5,2,2,No,80,Yes,455
138935,366,15,6,2,2,No,120,No,465
263778,82,15,4,2,2.4,Yes,40,No,360
90456,348,15,6,2,1.5,No,80,No,430
178426,566,17,4,4,2.4,Yes,120,No,680
40096,289,15,6,1,1.5,Yes,40,Yes,445
6886,200,15,5,2,1.5,Yes,300,No,510
100555,249,15,5,4,1.5,No,40,Yes,520
19230,146,15,5,1,1.5,Yes,40,No,231
194781,243,15,5,4,1.5,Yes,80,Yes,580
274276,213,15,5,2,2,Yes,120,Yes,415
62477,585,17,5,1,1.5,No,40,Yes,329
154268,239,15,5,2,2.4,No,300,Yes,392
176333,174,15,5,1,2,No,120,No,365
196646,678,17,5,4,1.5,Yes,120,No,650
263952,228,15,5,2,2.4,Yes,80,No,420
26614,175,15,5,1,2,No,300,Yes,500
110519,776,17,6,2,1.5,Yes,300,No,670
159272,175,15,5,1,2,No,300,Yes,475
36049,342,15,6,2,1.5,Yes,120,No,490
151509,220,15,5,2,2,No,80,No,355
35776,293,15,6,1,1.5,Yes,120,Yes,510
104949,590,17,5,1,1.5,No,120,No,470
178560,539,17,4,4,1.5,No,80,Yes,448
127921,61,15,4,2,1.5,No,120,Yes,390
247725,153,15,5,1,1.5,No,40,Yes,320
126190,713,17,5,4,2.4,No,40,Yes,670
273396,203,15,5,2,1.5,No,80,Yes,350
105659,381,15,6,2,2.4,No,120,Yes,590
31622,56,15,4,2,1.5,Yes,300,No,450
169766,720,17,5,4,2.4,No,300,No,518
72289,818,17,6,4,1.5,Yes,40,No,670
136447,232,15,5,2,2.4,Yes,300,No,540
296381,454,17,4,1,2,Yes,120,No,
46959,309,15,6,1,2,Yes,120,Yes,530
261428,361,15,6,2,2,No,40,Yes,415
122209,218,15,5,2,2,No,40,No,325
131365,433,17,4,1,1.5,Yes,40,Yes,460
73628,579,17,5,1,1.5,Yes,80,Yes,525
206420,161,15,5,1,2,Yes,40,Yes,370
25555,320,15,6,1,2,No,300,No,530
150658,53,15,4,2,1.5,Yes,120,Yes,280
65548,574,17,4,4,2.4,No,120,No,462
177429,232,15,5,2,2.4,Yes,300,No,371
223577,244,15,5,4,1.5,Yes,80,No,530
258177,634,17,5,2,1.5,No,40,No,410
147044,122,15,4,4,2,No,40,No,475
189742,769,17,6,2,1.5,Yes,40,Yes,580
89020,608,17,5,1,2,No,300,No,560
142772,422,15,6,4,2.4,Yes,120,No,680
144018,112,15,4,4,1.5,No,300,No,570
241924,455,17,4,1,2,Yes,300,Yes,590
267137,33,15,4,1,2.4,Yes,40,Yes,273
277198,199,15,5,2,1.5,Yes,300,Yes,450
159609,670,17,5,2,2.4,No,120,No,550
413,304,15,6,1,1.5,No,300,No,520
197039,617,17,5,1,2.4,No,40,Yes,500
34454,293,15,6,1,1.5,Yes,120,Yes,510
92621,206,15,5,2,1.5,No,120,No,370
262698,270,15,5,4,2,No,120,No,
7209,221,15,5,2,2,No,120,Yes,505
5463,205,15,5,2,1.5,No,120,Yes,480
155185,315,15,6,1,2,No,80,Yes,
194480,317,15,6,1,2,No,120,Yes,490
225732,301,15,6,1,1.5,No,120,Yes,460
235925,775,17,6,2,1.5,Yes,300,Yes,690
184310,445,17,4,1,1.5,No,120,Yes,490
149942,423,15,6,4,2.4,Yes,300,Yes,553
283005,721,17,6,1,1.5,Yes,40,Yes,540
137620,763,17,6,1,2.4,No,80,Yes,630
231343,268,15,5,4,2,No,80,No,535
278731,301,15,6,1,1.5,No,120,Yes,
131181,465,17,4,1,2.4,Yes,40,Yes,510
199806,563,17,4,4,2.4,Yes,80,Yes,710
76953,829,17,6,4,1.5,No,120,Yes,760
221988,238,15,5,2,2.4,No,120,No,430
200653,646,17,5,2,2,Yes,120,No,535
75976,500,17,4,2,2,Yes,80,No,525
223553,485,17,4,2,1.5,Yes,120,Yes,530
189346,361,15,6,2,2,No,40,Yes,435
189554,608,17,5,1,2,No,300,No,545
271279,93,15,4,2,2.4,No,120,Yes,450
99288,237,15,5,2,2.4,No,120,Yes,520
266081,598,17,5,1,2,Yes,120,No,495
267746,251,15,5,4,1.5,No,80,Yes,392
32506,358,15,6,2,2,Yes,120,No,515
105613,793,17,6,2,2,No,40,Yes,605
116301,781,17,6,2,1.5,No,120,Yes,640
123841,343,15,6,2,1.5,Yes,300,Yes,570
222465,304,15,6,1,1.5,No,300,No,470
266692,495,17,4,2,1.5,No,300,Yes,560
128229,428,15,6,4,2.4,No,80,No,640
12422,31,15,4,1,2,No,300,Yes,490
262377,317,15,6,1,2,No,120,Yes,480
110040,320,15,6,1,2,No,300,No,510
22703,292,15,6,1,1.5,Yes,80,No,450
96528,545,17,4,4,2,Yes,40,Yes,645
83746,181,15,5,1,2.4,Yes,120,Yes,495
79687,607,17,5,1,2,No,300,Yes,610
35174,337,15,6,2,1.5,Yes,40,Yes,480
47518,793,17,6,2,2,No,40,Yes,625
