City,Country,Venue,NumOpeningActs,OpeningAct1,OpeningAct2,OpeningAct3,TicketsSold,TicketsAvailable,SoldOut,Revenue,Tour
Winnipeg,Canada,Investors Group Field,3,Ed Sheeran,Austin Mahone,Joel Crouse,33061,33061,1,3175430,The_Red_Tour
Edmonton,Canada,Rexall Place,2,Ed Sheeran,Joel Crouse,,25663,25663,1,2379870,The_Red_Tour
Edmonton,Canada,Rexall Place,2,Ed Sheeran,Joel Crouse,,25663,25663,1,2379870,The_Red_Tour
Vancouver,Canada,BC Place Stadium,3,Ed Sheeran,Austin Mahone,Joel Crouse,41142,41142,1,3974410,The_Red_Tour
Pittsburgh,United States,Heinz Field,3,Ed Sheeran,Austin Mahone,Joel Crouse,56047,56047,1,4718518,The_Red_Tour
East Rutherford,United States,MetLife Stadium,3,Ed Sheeran,Austin Mahone,Joel Crouse,52399,52399,1,4670011,The_Red_Tour
Philadelphia,United States,Lincoln Financial Field,3,Ed Sheeran,Austin Mahone,Joel Crouse,101277,101277,1,8822335,The_Red_Tour
Philadelphia,United States,Lincoln Financial Field,3,Ed Sheeran,Austin Mahone,Joel Crouse,101277,101277,1,8822335,The_Red_Tour
Foxborough,United States,Gillette Stadium,3,Ed Sheeran,Austin Mahone,Joel Crouse,110712,110712,1,9464063,The_Red_Tour
Foxborough,United States,Gillette Stadium,3,Ed Sheeran,Austin Mahone,Joel Crouse,110712,110712,1,9464063,The_Red_Tour
Des Moines,United States,Wells Fargo Arena,2,Ed Sheeran,Florida Georgia Line,,13368,13368,1,1075576,The_Red_Tour
Kansas City,United States,Sprint Center,2,Ed Sheeran,Florida Georgia Line,,26412,26412,1,2093172,The_Red_Tour
Kansas City,United States,Sprint Center,2,Ed Sheeran,Florida Georgia Line,,26412,26412,1,2093172,The_Red_Tour
Wichita,United States,Intrust Bank Arena,2,Ed Sheeran,Casey James,,12231,12231,1,983882,The_Red_Tour
Tulsa,United States,BOK Center,2,Ed Sheeran,Casey James,,10949,10949,1,868955,The_Red_Tour
Chicago,United States,Soldier Field,3,Ed Sheeran,Austin Mahone,Casey James,50809,50809,1,4149148,The_Red_Tour
San Diego,United States,Valley View Casino Center,2,Ed Sheeran,Casey James,,10872,10872,1,948541,The_Red_Tour
Los Angeles,United States,Staples Center,2,Ed Sheeran,Casey James,,55829,55829,1,4734463,The_Red_Tour
Los Angeles,United States,Staples Center,2,Ed Sheeran,Casey James,,55829,55829,1,4734463,The_Red_Tour
Los Angeles,United States,Staples Center,2,Ed Sheeran,Casey James,,55829,55829,1,4734463,The_Red_Tour
Los Angeles,United States,Staples Center,2,Ed Sheeran,Casey James,,55829,55829,1,4734463,The_Red_Tour
Sacramento,United States,Sleep Train Arena,2,Ed Sheeran,Casey James,,12795,12795,1,1138103,The_Red_Tour
Portland,United States,Moda Center,2,Ed Sheeran,Casey James,,13952,13952,1,1084760,The_Red_Tour
Tacoma,United States,Tacoma Dome,2,Ed Sheeran,Casey James,,20348,20348,1,1584049,The_Red_Tour
Fargo,United States,Fargodome,2,Ed Sheeran,Casey James,,21073,21073,1,1661578,The_Red_Tour
Saint Paul,United States,Xcel Energy Center,2,Ed Sheeran,Casey James,,28920,28920,1,2320937,The_Red_Tour
Saint Paul,United States,Xcel Energy Center,2,Ed Sheeran,Casey James,,28920,28920,1,2320937,The_Red_Tour
Greensboro,United States,Greensboro Coliseum,2,Ed Sheeran,Casey James,,13650,13650,1,1109253,The_Red_Tour
Raleigh,United States,PNC Arena,2,Ed Sheeran,Casey James,,13941,13941,1,1088612,The_Red_Tour
Charlottesville,United States,John Paul Jones Arena,2,Ed Sheeran,Casey James,,12689,12689,1,997216,The_Red_Tour
Nashville,United States,Bridgestone Arena,2,Ed Sheeran,Casey James,,41292,41292,1,3336545,The_Red_Tour
Nashville,United States,Bridgestone Arena,2,Ed Sheeran,Casey James,,41292,41292,1,3336545,The_Red_Tour
Nashville,United States,Bridgestone Arena,2,Ed Sheeran,Casey James,,41292,41292,1,3336545,The_Red_Tour
Auckland,New Zealand,Vector Arena,1,Neon Trees,,,30799,30799,1,3100290,The_Red_Tour
Auckland,New Zealand,Vector Arena,1,Neon Trees,,,30799,30799,1,3100290,The_Red_Tour
Auckland,New Zealand,Vector Arena,1,Neon Trees,,,30799,30799,1,3100290,The_Red_Tour
Sydney,Australia,Allianz Stadium,2,Guy Sebastian,Neon Trees,,40930,40930,1,4096060,The_Red_Tour
Brisbane,Australia,Suncorp Stadium,2,Guy Sebastian,Neon Trees,,38907,38907,1,3895810,The_Red_Tour
Perth,Australia,Perth Rectangular Stadium,2,Guy Sebastian,Neon Trees,,21827,21827,1,2364080,The_Red_Tour
Melbourne,Australia,Etihad Stadium,2,Guy Sebastian,Neon Trees,,47257,47257,1,4547250,The_Red_Tour
London,England,The O2 Arena,1,The Vamps,,,74740,74740,1,5829240,The_Red_Tour
London,England,The O2 Arena,1,The Vamps,,,74740,74740,1,5829240,The_Red_Tour
London,England,The O2 Arena,1,The Vamps,,,74740,74740,1,5829240,The_Red_Tour
Berlin,Germany,O2 World,1,Andreas Bourani,,,10350,10350,1,755006,The_Red_Tour
London,England,The O2 Arena,1,The Vamps,,,,,,,The_Red_Tour
London,England,The O2 Arena,1,The Vamps,,,,,,,The_Red_Tour
Shanghai,China,Mercedes-Benz Arena,0,N/A,,,12793,12793,1,1864934,The_Red_Tour
Saitama,Japan,Saitama Super Arena,1,CTS,,,20046,20046,1,1837147,The_Red_Tour
Jakarta,Indonesia,MEIS Ancol,1,Nicole Zefanya,,,8130,8130,1,1481473,The_Red_Tour
Pasay,Philippines,Mall of Asia Arena,1,Meg Bucsit,,,9775,9775,1,1511662,The_Red_Tour
Singapore,Singapore,Singapore Indoor Stadium,1,Imprompt-3,,,16344,16344,1,2524080,The_Red_Tour
Kuala Lumpur,Malaysia,Putra Indoor Stadium,1,IamNeeta,,,7525,7525,1,998608,The_Red_Tour
Singapore,Singapore,Singapore Indoor Stadium,1,Imprompt-3,,,,,,,The_Red_Tour
Tokyo,Japan,Tokyo Dome,,,,,100320,100320,1,10586828,The_1989_World_Tour
Tokyo,Japan,Tokyo Dome,,,,,100320,100320,1,10586828,The_1989_World_Tour
Winchester,United States,City of Rock,,,,,,,,,The_1989_World_Tour
Bossier City,United States,CenturyLink Center,1,Vance Joy,,,12459,12459,1,1458197,The_1989_World_Tour
Baton Rouge,United States,LSU Tiger Stadium,2,Vance Joy,Shawn Mendes,,50227,50227,1,4119670,The_1989_World_Tour
Detroit,United States,Ford Field,2,Vance Joy,Shawn Mendes,,50703,50703,1,5999690,The_1989_World_Tour
Louisville,United States,KFC Yum! Center,1,Vance Joy,,,16242,16242,1,1863281,The_1989_World_Tour
Cleveland,United States,Quicken Loans Arena,1,Vance Joy,,,15503,15503,1,1732041,The_1989_World_Tour
Pittsburgh,United States,Heinz Field,2,Vance Joy,Shawn Mendes,,54801,54801,1,5836926,The_1989_World_Tour
Charlotte,United States,Time Warner Cable Arena,1,Vance Joy,,,15024,15024,1,1627798,The_1989_World_Tour
Raleigh,United States,PNC Arena,1,Vance Joy,,,13886,13886,1,1653762,The_1989_World_Tour
Philadelphia,United States,Lincoln Financial Field,2,Vance Joy,Shawn Mendes,,101052,101052,1,11987816,The_1989_World_Tour
Philadelphia,United States,Lincoln Financial Field,2,Vance Joy,Shawn Mendes,,101052,101052,1,11987816,The_1989_World_Tour
Cologne,Germany,Lanxess Arena,1,James Bay,,,29020,29020,1,2054690,The_1989_World_Tour
Cologne,Germany,Lanxess Arena,1,James Bay,,,29020,29020,1,2054690,The_1989_World_Tour
Amsterdam,Netherlands,Ziggo Dome,1,James Bay,,,11166,11166,1,800829,The_1989_World_Tour
Glasgow,Scotland,SSE Hydro,1,Vance Joy,,,11021,11021,1,1119300,The_1989_World_Tour
Manchester,England,Manchester Arena,1,Vance Joy,,,14773,14773,1,1478760,The_1989_World_Tour
London,England,Hyde Park,,,,,,,,,The_1989_World_Tour
Dublin,Ireland,3Arena,1,Vance Joy,,,25188,25188,1,1975510,The_1989_World_Tour
Dublin,Ireland,3Arena,1,Vance Joy,,,25188,25188,1,1975510,The_1989_World_Tour
Ottawa,Canada,Canadian Tire Centre,1,Vance Joy,,,13480,13480,1,1325480,The_1989_World_Tour
Montreal,Canada,Bell Centre,1,Vance Joy,,,14770,14770,1,1499040,The_1989_World_Tour
East Rutherford,United States,MetLife Stadium,3,Vance Joy,Shawn Mendes,Haim,110105,110105,1,13423858,The_1989_World_Tour
East Rutherford,United States,MetLife Stadium,3,Vance Joy,Shawn Mendes,Haim,110105,110105,1,13423858,The_1989_World_Tour
Washington,United States,Nationals Park,3,Vance Joy,Shawn Mendes,Haim,85014,85014,1,9730596,The_1989_World_Tour
Washington,United States,Nationals Park,3,Vance Joy,Shawn Mendes,Haim,85014,85014,1,9730596,The_1989_World_Tour
Chicago,United States,Soldier Field,3,Vance Joy,Shawn Mendes,Haim,110109,110109,1,11469887,The_1989_World_Tour
Chicago,United States,Soldier Field,3,Vance Joy,Shawn Mendes,Haim,110109,110109,1,11469887,The_1989_World_Tour
Foxborough,United States,Gillette Stadium,3,Vance Joy,Shawn Mendes,Haim,116849,116849,1,12533166,The_1989_World_Tour
Foxborough,United States,Gillette Stadium,3,Vance Joy,Shawn Mendes,Haim,116849,116849,1,12533166,The_1989_World_Tour
Vancouver,Canada,BC Place,2,Vance Joy,Shawn Mendes,,41463,41463,1,4081820,The_1989_World_Tour
Edmonton,Canada,Rexall Place,1,Vance Joy,,,26534,26534,1,2387080,The_1989_World_Tour
Edmonton,Canada,Rexall Place,1,Vance Joy,,,26534,26534,1,2387080,The_1989_World_Tour
Seattle,United States,CenturyLink Field,2,Vance Joy,Shawn Mendes,,55711,55711,1,6050643,The_1989_World_Tour
Santa Clara,United States,"Levi's Stadium",2,Vance Joy,Shawn Mendes,,102139,102139,1,13031146,The_1989_World_Tour
Santa Clara,United States,"Levi's Stadium",2,Vance Joy,Shawn Mendes,,102139,102139,1,13031146,The_1989_World_Tour
Glendale,United States,Gila River Arena,1,Vance Joy,,,26520,26520,1,3029628,The_1989_World_Tour
Glendale,United States,Gila River Arena,1,Vance Joy,,,26520,26520,1,3029628,The_1989_World_Tour
Los Angeles,United States,Staples Center,2,Vance Joy,Haim,,70563,70563,1,8961681,The_1989_World_Tour
Los Angeles,United States,Staples Center,2,Vance Joy,Haim,,70563,70563,1,8961681,The_1989_World_Tour
Los Angeles,United States,Staples Center,2,Vance Joy,Haim,,70563,70563,1,8961681,The_1989_World_Tour
Los Angeles,United States,Staples Center,2,Vance Joy,Haim,,70563,70563,1,8961681,The_1989_World_Tour
Los Angeles,United States,Staples Center,2,Vance Joy,Haim,,70563,70563,1,8961681,The_1989_World_Tour
San Diego,United States,Petco Park,2,Vance Joy,Shawn Mendes,,44710,44710,1,5475237,The_1989_World_Tour
Salt Lake City,United States,EnergySolutions Arena,1,Vance Joy,,,14131,14131,1,1589686,The_1989_World_Tour
Denver,United States,Pepsi Center,1,Vance Joy,,,27126,27126,1,2868991,The_1989_World_Tour
Denver,United States,Pepsi Center,1,Vance Joy,,,27126,27126,1,2868991,The_1989_World_Tour
Houston,United States,Minute Maid Park,2,Vance Joy,Shawn Mendes,,40122,40122,1,5202196,The_1989_World_Tour
Saint Paul,United States,Xcel Energy Center,1,Vance Joy,,,45126,45126,1,5514863,The_1989_World_Tour
Saint Paul,United States,Xcel Energy Center,1,Vance Joy,,,45126,45126,1,5514863,The_1989_World_Tour
Saint Paul,United States,Xcel Energy Center,1,Vance Joy,,,45126,45126,1,5514863,The_1989_World_Tour
Indianapolis,United States,Bankers Life Fieldhouse,1,Vance Joy,,,14010,14010,1,1550268,The_1989_World_Tour
Columbus,United States,Nationwide Arena,1,Vance Joy,,,29936,29936,1,3369693,The_1989_World_Tour
Columbus,United States,Nationwide Arena,1,Vance Joy,,,29936,29936,1,3369693,The_1989_World_Tour
Kansas City,United States,Sprint Center,1,Vance Joy,,,27857,27857,1,2967558,The_1989_World_Tour
Kansas City,United States,Sprint Center,1,Vance Joy,,,27857,27857,1,2967558,The_1989_World_Tour
Nashville,United States,Bridgestone Arena,2,Vance Joy,Haim,,28917,28917,1,3354844,The_1989_World_Tour
Nashville,United States,Bridgestone Arena,2,Vance Joy,Haim,,28917,28917,1,3354844,The_1989_World_Tour
St. Louis,United States,Scottrade Center,2,Vance Joy,Haim,,29688,29688,1,3452940,The_1989_World_Tour
St. Louis,United States,Scottrade Center,2,Vance Joy,Haim,,29688,29688,1,3452940,The_1989_World_Tour
Toronto,Canada,Rogers Centre,2,Vance Joy,Shawn Mendes,,99283,99283,1,8670990,The_1989_World_Tour
Toronto,Canada,Rogers Centre,2,Vance Joy,Shawn Mendes,,99283,99283,1,8670990,The_1989_World_Tour
Des Moines,United States,Wells Fargo Arena,1,Vance Joy,,,13969,13969,1,1566321,The_1989_World_Tour
Omaha,United States,CenturyLink Center Omaha,1,Vance Joy,,,29622,29622,1,3121421,The_1989_World_Tour
Omaha,United States,CenturyLink Center Omaha,1,Vance Joy,,,29622,29622,1,3121421,The_1989_World_Tour
Fargo,United States,Fargodome,1,Vance Joy,,,21067,21067,1,2219188,The_1989_World_Tour
Arlington,United States,AT&T Stadium,2,Vance Joy,Shawn Mendes,,62630,62630,1,7396733,The_1989_World_Tour
Lexington,United States,Rupp Arena,1,Vance Joy,,,17084,17084,1,1870471,The_1989_World_Tour
Greensboro,United States,Greensboro Coliseum,1,Vance Joy,,,15079,15079,1,1662171,The_1989_World_Tour
Atlanta,United States,Georgia Dome,2,Vance Joy,Shawn Mendes,,56046,56046,1,6034846,The_1989_World_Tour
Miami,United States,American Airlines Arena,1,Vance Joy,,,14044,14044,1,1527919,The_1989_World_Tour
Tampa,United States,Raymond James Stadium,2,Vance Joy,Shawn Mendes,,56987,56987,1,6202515,The_1989_World_Tour
Singapore,Singapore,Singapore Indoor Stadium,0,,,,17726,17726,1,3217569,The_1989_World_Tour
Singapore,Singapore,Singapore Indoor Stadium,0,,,,17726,17726,1,3217569,The_1989_World_Tour
Shanghai,China,Mercedes-Benz Arena,0,,,,37758,37758,1,5917348,The_1989_World_Tour
Shanghai,China,Mercedes-Benz Arena,0,,,,37758,37758,1,5917348,The_1989_World_Tour
Shanghai,China,Mercedes-Benz Arena,0,,,,37758,37758,1,5917348,The_1989_World_Tour
Sydney,Australia,ANZ Stadium,1,Vance Joy,,,75980,75980,1,6571683,The_1989_World_Tour
Brisbane,Australia,Suncorp Stadium,1,Vance Joy,,,46881,46881,1,4759471,The_1989_World_Tour
Adelaide,Australia,Adelaide Entertainment Centre,1,Vance Joy,,,20090,20090,1,2407499,The_1989_World_Tour
Adelaide,Australia,Adelaide Entertainment Centre,1,Vance Joy,,,20090,20090,1,2407499,The_1989_World_Tour
Melbourne,Australia,AAMI Park,1,Vance Joy,,,98136,98136,1,10421553,The_1989_World_Tour
Melbourne,Australia,AAMI Park,1,Vance Joy,,,98136,98136,1,10421553,The_1989_World_Tour
Melbourne,Australia,AAMI Park,1,Vance Joy,,,98136,98136,1,10421553,The_1989_World_Tour
Glendale,United States,University of Phoenix Stadium,2,Camila Cabello,Charli XCX,,59157,59157,1,7214478,Reputation_Stadium_Tour
Santa Clara,United States,"Levi's Stadium",2,Camila Cabello,Charli XCX,,107550,107550,1,14006963,Reputation_Stadium_Tour
Santa Clara,United States,"Levi's Stadium",2,Camila Cabello,Charli XCX,,107550,107550,1,14006963,Reputation_Stadium_Tour
Pasadena,United States,Rose Bowl,2,Camila Cabello,Charli XCX,,118084,118084,1,16251980,Reputation_Stadium_Tour
Pasadena,United States,Rose Bowl,2,Camila Cabello,Charli XCX,,118084,118084,1,16251980,Reputation_Stadium_Tour
Seattle,United States,CenturyLink Field,2,Camila Cabello,Charli XCX,,56021,56021,1,8672219,Reputation_Stadium_Tour
Denver,United States,Sports Authority Field at Mile High,2,Camila Cabello,Charli XCX,,57140,57140,1,7926366,Reputation_Stadium_Tour
Chicago,United States,Soldier Field,2,Camila Cabello,Charli XCX,,105208,105208,1,14576697,Reputation_Stadium_Tour
Chicago,United States,Soldier Field,2,Camila Cabello,Charli XCX,,105208,105208,1,14576697,Reputation_Stadium_Tour
Manchester,England,Etihad Stadium,2,Camila Cabello,Charli XCX,,77258,77258,1,6169724,Reputation_Stadium_Tour
Manchester,England,Etihad Stadium,2,Camila Cabello,Charli XCX,,77258,77258,1,6169724,Reputation_Stadium_Tour
Dublin,Ireland,Croke Park,2,Camila Cabello,Charli XCX,,133034,133034,1,8567769,Reputation_Stadium_Tour
Dublin,Ireland,Croke Park,2,Camila Cabello,Charli XCX,,133034,133034,1,8567769,Reputation_Stadium_Tour
London,England,Wembley Stadium,2,Camila Cabello,Charli XCX,,143427,143427,1,12214933,Reputation_Stadium_Tour
London,England,Wembley Stadium,2,Camila Cabello,Charli XCX,,143427,143427,1,12214933,Reputation_Stadium_Tour
Louisville,United States,Cardinal Stadium,2,Camila Cabello,Charli XCX,,52138,52138,1,4928219,Reputation_Stadium_Tour
Columbus,United States,Ohio Stadium,2,Camila Cabello,Charli XCX,,62897,62897,1,6606529,Reputation_Stadium_Tour
Landover,United States,FedExField,2,Camila Cabello,Charli XCX,,95672,95672,1,11396004,Reputation_Stadium_Tour
Landover,United States,FedExField,2,Camila Cabello,Charli XCX,,95672,95672,1,11396004,Reputation_Stadium_Tour
Philadelphia,United States,Lincoln Financial Field,2,Camila Cabello,Charli XCX,,107378,107378,1,11951047,Reputation_Stadium_Tour
Philadelphia,United States,Lincoln Financial Field,2,Camila Cabello,Charli XCX,,107378,107378,1,11951047,Reputation_Stadium_Tour
Cleveland,United States,FirstEnergy Stadium,2,Camila Cabello,Charli XCX,,51323,51323,1,5148757,Reputation_Stadium_Tour
East Rutherford,United States,MetLife Stadium,2,Camila Cabello,Charli XCX,,165654,165654,1,22031386,Reputation_Stadium_Tour
East Rutherford,United States,MetLife Stadium,2,Camila Cabello,Charli XCX,,165654,165654,1,22031386,Reputation_Stadium_Tour
East Rutherford,United States,MetLife Stadium,2,Camila Cabello,Charli XCX,,165654,165654,1,22031386,Reputation_Stadium_Tour
Foxborough,United States,Gillette Stadium,2,Camila Cabello,Charli XCX,,174764,174764,1,21779846,Reputation_Stadium_Tour
Foxborough,United States,Gillette Stadium,2,Camila Cabello,Charli XCX,,174764,174764,1,21779846,Reputation_Stadium_Tour
Foxborough,United States,Gillette Stadium,2,Camila Cabello,Charli XCX,,174764,174764,1,21779846,Reputation_Stadium_Tour
Toronto,Canada,Rogers Centre,2,Camila Cabello,Charli XCX,,100310,100310,1,11177000,Reputation_Stadium_Tour
Toronto,Canada,Rogers Centre,2,Camila Cabello,Charli XCX,,100310,100310,1,11177000,Reputation_Stadium_Tour
Pittsburgh,United States,Heinz Field,2,Camila Cabello,Charli XCX,,56445,56445,1,6230876,Reputation_Stadium_Tour
Atlanta,United States,Mercedes-Benz Stadium,2,Camila Cabello,Charli XCX,,116746,116746,1,18089415,Reputation_Stadium_Tour
Atlanta,United States,Mercedes-Benz Stadium,2,Camila Cabello,Charli XCX,,116746,116746,1,18089415,Reputation_Stadium_Tour
Tampa,United States,Raymond James Stadium,2,Camila Cabello,Charli XCX,,55909,55909,1,7244264,Reputation_Stadium_Tour
Miami Gardens,United States,Hard Rock Stadium,2,Camila Cabello,Charli XCX,,47818,47818,1,7072164,Reputation_Stadium_Tour
Nashville,United States,Nissan Stadium,2,Camila Cabello,Charli XCX,,56112,56112,1,9007179,Reputation_Stadium_Tour
Detroit,United States,Ford Field,2,Camila Cabello,Charli XCX,,49464,49464,1,6597852,Reputation_Stadium_Tour
Minneapolis,United States,U.S. Bank Stadium,2,Camila Cabello,Charli XCX,,98774,98774,1,10242024,Reputation_Stadium_Tour
Minneapolis,United States,U.S. Bank Stadium,2,Camila Cabello,Charli XCX,,98774,98774,1,10242024,Reputation_Stadium_Tour
Kansas City,United States,Arrowhead Stadium,2,Camila Cabello,Charli XCX,,58611,58611,1,6730138,Reputation_Stadium_Tour
Indianapolis,United States,Lucas Oil Stadium,2,Camila Cabello,Charli XCX,,55729,55729,1,6531245,Reputation_Stadium_Tour
St. Louis,United States,"The Dome at America's Center",2,Camila Cabello,Charli XCX,,47831,47831,1,4884054,Reputation_Stadium_Tour
New Orleans,United States,Mercedes-Benz Superdome,2,Camila Cabello,Charli XCX,,53172,53172,1,6491546,Reputation_Stadium_Tour
Houston,United States,NRG Stadium,2,Camila Cabello,Charli XCX,,53800,53800,1,9350275,Reputation_Stadium_Tour
Arlington,United States,AT&T Stadium,2,Camila Cabello,Charli XCX,,105002,105002,1,15006157,Reputation_Stadium_Tour
Arlington,United States,AT&T Stadium,2,Camila Cabello,Charli XCX,,105002,105002,1,15006157,Reputation_Stadium_Tour
Perth,Australia,Optus Stadium,2,Charli XCX,Broods,,50891,50891,1,4153658,Reputation_Stadium_Tour
Melbourne,Australia,Marvel Stadium,2,Charli XCX,Broods,,63027,63027,1,6755570,Reputation_Stadium_Tour
Sydney,Australia,ANZ Stadium,2,Charli XCX,Broods,,72805,72805,1,7686564,Reputation_Stadium_Tour
Brisbane,Australia,The Gabba,2,Charli XCX,Broods,,43907,43907,1,4338127,Reputation_Stadium_Tour
Auckland,New Zealand,Mount Smart Stadium,2,Charli XCX,Broods,,35749,35749,1,3617593,Reputation_Stadium_Tour
Tokyo,Japan,Tokyo Dome,1,Charli XCX,,,100109,100109,1,14859847,Reputation_Stadium_Tour
Tokyo,Japan,Tokyo Dome,1,Charli XCX,,,100109,100109,1,14859847,Reputation_Stadium_Tour
